Annee,DateRap,JA,Comb,iLat,iLon,INT,Domaine,Rgn_ecolo,Dates,Month,Numero
1994,07/05/1994 13:33,1,M1,48.75059891,-78.8553009,60,5,5a,07/05/1994,07-May-94,55
1994,07/05/1994 16:20,1,D1,48.75469971,-78.84169769,30,5,5a,07/05/1994,07-May-94,56
1994,07/05/1994 16:20,2,D1,48.75469971,-78.84169769,139,5,5a,07/05/1994,07-May-94,56
1994,07/05/1994 15:02,1,M1,48.1094017,-77.97579956,95,5,5a,07/05/1994,07-May-94,57
1994,07/05/1994 15:00,1,D1,48.21530151,-78.97170258,129,5,5a,07/05/1994,07-May-94,58
1994,07/05/1994 15:00,2,D1,48.21530151,-78.97170258,303,5,5a,07/05/1994,07-May-94,58
1994,07/05/1994 13:15,1,M1,45.87749863,-76.0121994,80,2,2a,07/05/1994,07-May-94,59
1994,07/05/1994 13:15,2,M1,45.87749863,-76.0121994,169,2,2a,07/05/1994,07-May-94,59
1994,07/05/1994 13:15,3,M1,45.87749863,-76.0121994,21,2,2a,07/05/1994,07-May-94,59
1994,07/05/1994 15:45,1,M1,47.06940079,-79.31109619,202,3,3a,07/05/1994,07-May-94,60
1994,07/05/1994 16:40,1,O1A,46.1739006,-70.68640137,2404,3,3d,07/05/1994,07-May-94,61
1994,07/05/1994 16:40,2,O1A,46.1739006,-70.68640137,1254,3,3d,07/05/1994,07-May-94,61
1994,07/05/1994 17:15,1,D1,45.84249878,-74.55249786,173,3,3b,07/05/1994,07-May-94,62
1994,07/05/1994 17:15,2,D1,45.84249878,-74.55249786,158,3,3b,07/05/1994,07-May-94,62
1994,07/05/1994 17:15,3,D1,45.84249878,-74.55249786,96,3,3b,07/05/1994,07-May-94,62
1994,06/05/1994 15:05,1,C3,47.64720154,-73.08080292,13,4,4c,06/05/1994,06-May-94,63
1994,06/05/1994 15:05,2,C3,47.64720154,-73.08080292,65,4,4c,06/05/1994,06-May-94,63
1994,07/05/1994 15:35,1,M1,45.96720123,-73.23329926,238,2,2b,07/05/1994,07-May-94,64
1994,07/05/1994 15:35,2,M1,45.96720123,-73.23329926,255,2,2b,07/05/1994,07-May-94,64
1994,07/05/1994 15:35,3,M1,45.96720123,-73.23329926,61,2,2b,07/05/1994,07-May-94,64
1994,08/05/1994 10:05,1,M1,48.05860138,-77.36170197,334,5,5a,08/05/1994,08-May-94,65
1994,07/05/1994 17:28,1,D1,48.08440018,-79.23390198,129,4,4a,07/05/1994,07-May-94,66
1994,07/05/1994 17:28,2,D1,48.08440018,-79.23390198,303,4,4a,07/05/1994,07-May-94,66
1994,07/05/1994 13:55,1,M1,46.44829941,-72.74890137,976,2,2b,07/05/1994,07-May-94,67
1994,07/05/1994 16:21,1,O1A,46.41360092,-70.86720276,374,3,3d,07/05/1994,07-May-94,68
1994,07/05/1994 16:21,2,O1A,46.41360092,-70.86720276,1079,3,3d,07/05/1994,07-May-94,68
1994,08/05/1994 15:05,1,M1,48.44919968,-71.20249939,,4,4e,08/05/1994,08-May-94,69
1994,08/05/1994 15:05,2,M1,48.44919968,-71.20249939,,4,4e,08/05/1994,08-May-94,69
1994,08/05/1994 13:20,1,O1A,48.40359879,-77.33670044,1161,5,5a,08/05/1994,08-May-94,70
1994,08/05/1994 13:20,2,O1A,48.40359879,-77.33670044,22,5,5a,08/05/1994,08-May-94,70
1994,08/05/1994 12:50,1,O1A,48.20999908,-77.35469818,1161,5,5a,08/05/1994,08-May-94,71
1994,08/05/1994 13:58,1,D1,48.61859894,-78.02220154,139,5,5a,08/05/1994,08-May-94,72
1994,08/05/1994 14:55,1,O1A,48.80500031,-78.7213974,1891,5,5a,08/05/1994,08-May-94,73
1994,08/05/1994 14:55,2,O1A,48.80500031,-78.7213974,774,5,5a,08/05/1994,08-May-94,73
1994,08/05/1994 14:45,1,O1A,48.23249817,-77.89250183,1161,5,5a,08/05/1994,08-May-94,74
1994,08/05/1994 14:45,2,O1A,48.23249817,-77.89250183,22,5,5a,08/05/1994,08-May-94,74
1994,08/05/1994 14:50,1,M1,48.29970169,-72.10189819,,5,5d,08/05/1994,08-May-94,75
1994,08/05/1994 14:50,2,M1,48.29970169,-72.10189819,,5,5d,08/05/1994,08-May-94,75
1994,08/05/1994 18:45,1,D1,48.21170044,-78.94190216,303,5,5a,08/05/1994,08-May-94,76
1994,08/05/1994 18:45,2,D1,48.21170044,-78.94190216,115,5,5a,08/05/1994,08-May-94,76
1994,08/05/1994 21:30,1,D1,48.33110046,-78.06310272,139,5,5a,08/05/1994,08-May-94,77
1994,08/05/1994 21:30,2,D1,48.33110046,-78.06310272,1,5,5a,08/05/1994,08-May-94,77
1994,07/05/1994 16:30,0,D1,46.6955986,-73.92279816,83,3,3c,07/05/1994,07-May-94,78
1994,07/05/1994 21:26,0,D1,46.31140137,-73.13169861,162,3,3c,07/05/1994,07-May-94,79
1994,07/05/1994 18:30,1,M1,47.74060059,-69.38189697,234,4,4f,07/05/1994,07-May-94,80
1994,09/05/1994 9:00,1,O1A,48.71889877,-78.25969696,22,5,5a,09/05/1994,09-May-94,81
1994,09/05/1994 20:05,1,M1,46.78969955,-78.95670319,15,3,3a,09/05/1994,09-May-94,82
1994,09/05/1994 20:05,2,M1,46.78969955,-78.95670319,0,3,3a,09/05/1994,09-May-94,82
1994,09/05/1994 13:00,0,AU,47.04859924,-70.33609772,,2,2b,09/05/1994,09-May-94,83
1994,10/05/1994 8:40,0,M1,47.94469833,-68.84420013,50,4,4f,10/05/1994,10-May-94,84
1994,10/05/1994 9:57,0,AU,46.84249878,-72.40499878,,2,2b,10/05/1994,10-May-94,85
1994,11/05/1994 15:15,1,AU,48.84529877,-72.16280365,,4,4e,11/05/1994,11-May-94,86
1994,11/05/1994 15:15,2,AU,48.84529877,-72.16280365,,4,4e,11/05/1994,11-May-94,86
1994,12/05/1994 8:43,0,AU,48.6678009,-71.58640289,,4,4e,12/05/1994,12-May-94,87
1994,11/05/1994 18:20,1,C2,48.76440048,-72.63529968,,4,4e,11/05/1994,11-May-94,88
1994,11/05/1994 18:20,2,C2,48.76440048,-72.63529968,,4,4e,11/05/1994,11-May-94,88
1994,11/05/1994 19:45,1,C3,48.73419952,-72.63420105,,4,4e,11/05/1994,11-May-94,89
1994,11/05/1994 19:45,2,C3,48.73419952,-72.63420105,,4,4e,11/05/1994,11-May-94,89
1994,12/05/1994 15:38,1,C2,47.6391983,-78.51529694,86,4,4b,12/05/1994,12-May-94,90
1994,12/05/1994 15:38,2,C2,47.6391983,-78.51529694,627,4,4b,12/05/1994,12-May-94,90
1994,14/05/1994 16:55,1,M1,48.10689926,-77.82389832,320,5,5a,14/05/1994,14-May-94,91
1994,14/05/1994 16:55,2,M1,48.10689926,-77.82389832,544,5,5a,14/05/1994,14-May-94,91
1994,14/05/1994 17:08,1,D1,48.1507988,-77.80500031,59,5,5a,14/05/1994,14-May-94,92
1994,14/05/1994 17:08,2,D1,48.1507988,-77.80500031,92,5,5a,14/05/1994,14-May-94,92
1994,14/05/1994 16:20,1,D1,48.89640045,-79.21579742,284,5,5a,14/05/1994,14-May-94,93
1994,14/05/1994 16:20,2,D1,48.89640045,-79.21579742,105,5,5a,14/05/1994,14-May-94,93
1994,14/05/1994 19:05,1,O1A,48.92580032,-79.2743988,1666,5,5a,14/05/1994,14-May-94,94
1994,14/05/1994 19:05,2,O1A,48.92580032,-79.2743988,629,5,5a,14/05/1994,14-May-94,94
1994,14/05/1994 18:30,1,M1,48.37390137,-78.2818985,366,5,5a,14/05/1994,14-May-94,95
1994,14/05/1994 18:30,2,M1,48.37390137,-78.2818985,598,5,5a,14/05/1994,14-May-94,95
1994,14/05/1994 15:26,1,C2,46.68669891,-73.96330261,427,3,3c,14/05/1994,14-May-94,96
1994,14/05/1994 15:26,2,C2,46.68669891,-73.96330261,187,3,3c,14/05/1994,14-May-94,96
1994,14/05/1994 15:26,3,C2,46.68669891,-73.96330261,0,3,3c,14/05/1994,14-May-94,96
1994,14/05/1994 15:26,4,C2,46.68669891,-73.96330261,0,3,3c,14/05/1994,14-May-94,96
1994,14/05/1994 15:26,5,C2,46.68669891,-73.96330261,151,3,3c,14/05/1994,14-May-94,96
1994,14/05/1994 16:28,1,D1,45.89720154,-70.5931015,32,3,3d,14/05/1994,14-May-94,97
1994,14/05/1994 16:28,2,D1,45.89720154,-70.5931015,86,3,3d,14/05/1994,14-May-94,97
1994,14/05/1994 17:13,1,M1,45.83280182,-72.3431015,1185,2,2b,14/05/1994,14-May-94,98
1994,14/05/1994 17:13,2,M1,45.83280182,-72.3431015,747,2,2b,14/05/1994,14-May-94,98
1994,14/05/1994 17:13,3,M1,45.83280182,-72.3431015,4,2,2b,14/05/1994,14-May-94,98
1994,15/05/1994 14:40,1,D1,47.50109863,-76.71140289,92,4,4b,15/05/1994,15-May-94,99
1994,15/05/1994 14:40,2,D1,47.50109863,-76.71140289,0,4,4b,15/05/1994,15-May-94,99
1994,15/05/1994 15:15,1,D1,46.3594017,-75.89330292,19,2,2a,15/05/1994,15-May-94,100
1994,15/05/1994 15:15,2,D1,46.3594017,-75.89330292,0,2,2a,15/05/1994,15-May-94,100
1994,14/05/1994 16:33,1,D1,45.82830048,-72.41169739,251,2,2b,14/05/1994,14-May-94,101
1994,14/05/1994 16:33,2,D1,45.82830048,-72.41169739,144,2,2b,14/05/1994,14-May-94,101
1994,15/05/1994 13:20,1,D1,45.83190155,-72.3585968,144,2,2b,15/05/1994,15-May-94,102
1994,15/05/1994 13:20,2,D1,45.83190155,-72.3585968,0,2,2b,15/05/1994,15-May-94,102
1994,15/05/1994 16:25,1,D1,46.0243988,-74.54969788,,3,3c,15/05/1994,15-May-94,103
1994,15/05/1994 16:25,2,D1,46.0243988,-74.54969788,,3,3c,15/05/1994,15-May-94,103
1994,15/05/1994 17:40,1,M1,48.75189972,-72.37439728,84,4,4e,15/05/1994,15-May-94,104
1994,16/05/1994 15:00,1,D1,46.35219955,-75.88279724,0,2,2a,16/05/1994,16-May-94,105
1994,16/05/1994 15:00,2,D1,46.35219955,-75.88279724,0,2,2a,16/05/1994,16-May-94,105
1994,14/05/1994 16:15,1,C5,45.83610153,-76.37809753,0,3,3a,14/05/1994,14-May-94,106
1994,14/05/1994 16:15,2,C5,45.83610153,-76.37809753,0,3,3a,14/05/1994,14-May-94,106
1994,14/05/1994 16:15,3,C5,45.83610153,-76.37809753,0,3,3a,14/05/1994,14-May-94,106
1994,15/05/1994 16:04,1,D1,46.39559937,-72.49749756,83,2,2b,15/05/1994,15-May-94,107
1994,17/05/1994 14:15,1,D1,48.22439957,-71.26190186,18,5,5d,17/05/1994,17-May-94,108
1994,17/05/1994 14:15,2,D1,48.22439957,-71.26190186,12,5,5d,17/05/1994,17-May-94,108
1994,17/05/1994 13:40,1,D1,48.48889923,-70.88140106,18,4,4e,17/05/1994,17-May-94,109
1994,17/05/1994 13:40,2,D1,48.48889923,-70.88140106,12,4,4e,17/05/1994,17-May-94,109
1994,14/05/1994 18:45,1,D1,45.86500168,-74.12280273,64,3,3c,14/05/1994,14-May-94,110
1994,14/05/1994 18:45,2,D1,45.86500168,-74.12280273,97,3,3c,14/05/1994,14-May-94,110
1994,14/05/1994 18:45,3,D1,45.86500168,-74.12280273,0,3,3c,14/05/1994,14-May-94,110
1994,14/05/1994 18:45,4,D1,45.86500168,-74.12280273,0,3,3c,14/05/1994,14-May-94,110
1994,14/05/1994 13:25,1,D1,45.84420013,-74.12030029,64,3,3c,14/05/1994,14-May-94,111
1994,14/05/1994 13:25,2,D1,45.84420013,-74.12030029,97,3,3c,14/05/1994,14-May-94,111
1994,14/05/1994 13:25,3,D1,45.84420013,-74.12030029,0,3,3c,14/05/1994,14-May-94,111
1994,14/05/1994 13:25,4,D1,45.84420013,-74.12030029,0,3,3c,14/05/1994,14-May-94,111
