Latitude,Longitude,TMax 
50.23,-75.33,-4.953
50.23,-75.33,-6.257
50.23,-75.33,-5.794
50.23,-75.33,-4.801
50.23,-75.33,-5.071
50.23,-75.33,-5.608
50.23,-75.33,-6.663
50.23,-75.33,-4.504
50.23,-75.33,-7.611
50.23,-75.33,-6.267
50.23,-75.33,-6.351
50.23,-75.33,-5.748
50.23,-75.33,-6
50.23,-75.33,-6.384
50.23,-75.33,-6.983
50.23,-75.33,-6.982
50.23,-75.33,-6.423
50.23,-75.33,-5.637
50.23,-75.33,-5.949
50.23,-75.33,-5.411
50.23,-75.33,-5.168
50.23,-75.33,-4.798
50.17,-75.35,-6.668
50.17,-75.35,-5.319
50.17,-75.35,-6.434
50.17,-75.35,-6.28
50.17,-75.35,-7.088
50.17,-75.35,-5.036
50.17,-75.35,-6.356
50.17,-75.35,-6.366
50.17,-75.35,-4.909
50.17,-75.35,-6.213
50.17,-75.35,-5.75
50.17,-75.35,-4.755
50.17,-75.35,-5.024
50.17,-75.35,-5.564
50.17,-75.35,-6.62
50.17,-75.35,-4.457
50.17,-75.35,-7.569
50.17,-75.35,-6.222
50.17,-75.35,-6.307
50.17,-75.35,-5.704
50.17,-75.35,-5.956
50.17,-75.35,-6.34
50.17,-75.35,-6.939
50.17,-75.35,-6.939
50.17,-75.35,-6.379
50.17,-75.35,-5.59
50.17,-75.35,-5.906
50.17,-75.35,-5.364
50.17,-75.35,-5.124
50.17,-75.35,-4.752
50.17,-75.34,-6.697
50.17,-75.34,-5.349
50.17,-75.34,-6.463
50.17,-75.34,-6.31
50.17,-75.34,-7.117
50.17,-75.34,-5.065
50.17,-75.34,-6.385
50.17,-75.34,-6.396
50.17,-75.34,-4.938
50.17,-75.34,-6.242
50.17,-75.34,-5.779
50.17,-75.34,-4.783
50.17,-75.34,-5.053
50.17,-75.34,-5.593
50.17,-75.34,-6.65
50.17,-75.34,-4.487
50.17,-75.34,-7.597
50.17,-75.34,-6.251
50.17,-75.34,-6.337
50.17,-75.34,-5.733
50.17,-75.34,-5.985
50.17,-75.34,-6.37
50.17,-75.34,-6.968
50.17,-75.34,-6.968
50.17,-75.34,-6.408
50.17,-75.34,-5.619
50.17,-75.34,-5.935
50.17,-75.34,-5.393
50.17,-75.34,-5.153
50.17,-75.34,-4.781
50.17,-75.14,-6.627
50.17,-75.14,-5.274
50.17,-75.14,-6.402
50.17,-75.14,-6.253
50.17,-75.14,-7.056
50.17,-75.14,-5.003
50.17,-75.14,-6.314
50.17,-75.14,-6.328
50.17,-75.14,-4.878
50.17,-75.14,-6.179
50.17,-75.14,-5.718
50.17,-75.14,-4.72
50.17,-75.14,-4.986
50.17,-75.14,-5.531
50.17,-75.14,-6.59
50.17,-75.14,-4.426
50.17,-75.14,-7.533
50.17,-75.14,-6.184
50.17,-75.14,-6.274
50.17,-75.14,-5.67
50.17,-75.14,-5.921
50.17,-75.14,-6.306
50.17,-75.14,-6.901
50.17,-75.14,-6.906
50.17,-75.14,-6.343
50.17,-75.14,-5.552
50.17,-75.14,-5.878
50.17,-75.14,-5.323
50.17,-75.14,-5.095
50.17,-75.14,-4.718
50.18,-74.99,-6.612
50.18,-74.99,-5.262
50.18,-74.99,-6.389
50.18,-74.99,-6.243
50.18,-74.99,-7.043
50.18,-74.99,-4.992
50.18,-74.99,-6.299
50.18,-74.99,-6.316
50.18,-74.99,-4.867
50.18,-74.99,-6.166
50.18,-74.99,-5.706
50.18,-74.99,-4.707
50.18,-74.99,-4.973
50.18,-74.99,-5.518
50.18,-74.99,-6.578
50.18,-74.99,-4.415
50.18,-74.99,-7.519
50.18,-74.99,-6.171
50.18,-74.99,-6.263
50.18,-74.99,-5.658
50.18,-74.99,-5.908
50.18,-74.99,-6.294
50.18,-74.99,-6.887
50.18,-74.99,-6.893
50.18,-74.99,-6.33
50.18,-74.99,-5.539
50.18,-74.99,-5.867
50.18,-74.99,-5.31
50.18,-74.99,-5.084
50.18,-74.99,-4.706
50.13,-74.95,-6.587
50.13,-74.95,-5.232
50.13,-74.95,-6.368
50.13,-74.95,-6.223
50.13,-74.95,-7.022
50.13,-74.95,-4.968
50.13,-74.95,-6.272
50.13,-74.95,-6.291
50.13,-74.95,-4.844
50.13,-74.95,-6.143
50.13,-74.95,-5.683
50.13,-74.95,-4.681
50.13,-74.95,-4.946
50.13,-74.95,-5.495
50.13,-74.95,-6.558
50.13,-74.95,-4.39
50.13,-74.95,-7.498
50.13,-74.95,-6.146
50.13,-74.95,-6.24
50.13,-74.95,-5.634
50.13,-74.95,-5.885
50.13,-74.95,-6.271
50.13,-74.95,-6.863
50.13,-74.95,-6.872
50.13,-74.95,-6.307
50.13,-74.95,-5.512
50.13,-74.95,-5.846
50.13,-74.95,-5.282
50.13,-74.95,-5.061
50.13,-74.95,-4.681
50.14,-74.96,-6.557
50.14,-74.96,-5.204
50.14,-74.96,-6.338
50.14,-74.96,-6.192
50.14,-74.96,-6.992
