Latitude,Longitude,TMax 
50.34,-74.67,-7.24
50.34,-74.67,-9.109
50.34,-74.67,-7.752
50.34,-74.67,-7.278
50.34,-74.67,-8.101
50.34,-74.67,-7.023
50.34,-74.67,-8.333
50.32,-74.59,-8.652
50.32,-74.59,-7.867
50.32,-74.59,-7.732
50.32,-74.59,-6.495
50.32,-74.59,-7.715
50.32,-74.59,-7.941
50.32,-74.59,-9.17
50.32,-74.59,-7.729
50.32,-74.59,-7.311
50.32,-74.59,-9.178
50.32,-74.59,-9.364
50.32,-74.59,-8.688
50.32,-74.59,-7.281
50.32,-74.59,-8.268
50.32,-74.59,-7.06
50.32,-74.59,-6.619
50.32,-74.59,-7.91
50.32,-74.59,-7.279
50.32,-74.59,-7.702
50.32,-74.59,-9.024
50.32,-74.59,-8.561
50.32,-74.59,-7.368
50.32,-74.59,-6.863
50.32,-74.59,-7.233
50.32,-74.59,-9.061
50.32,-74.59,-7.724
50.32,-74.59,-7.267
50.32,-74.59,-8.061
50.32,-74.59,-7.013
50.32,-74.59,-8.309
50.32,-74.6,-8.696
50.32,-74.6,-7.911
50.32,-74.6,-7.775
50.32,-74.6,-6.539
50.32,-74.6,-7.758
50.32,-74.6,-7.985
50.32,-74.6,-9.214
50.32,-74.6,-7.773
50.32,-74.6,-7.355
50.32,-74.6,-9.222
50.32,-74.6,-9.408
50.32,-74.6,-8.733
50.32,-74.6,-7.325
50.32,-74.6,-8.312
50.32,-74.6,-7.104
50.32,-74.6,-6.663
50.32,-74.6,-7.954
50.32,-74.6,-7.323
50.32,-74.6,-7.746
50.32,-74.6,-9.068
50.32,-74.6,-8.605
50.32,-74.6,-7.411
50.32,-74.6,-6.907
50.32,-74.6,-7.277
50.32,-74.6,-9.105
50.32,-74.6,-7.768
50.32,-74.6,-7.31
50.32,-74.6,-8.105
50.32,-74.6,-7.057
50.32,-74.6,-8.353
50.31,-74.6,-8.697
50.31,-74.6,-7.912
50.31,-74.6,-7.776
50.31,-74.6,-6.539
50.31,-74.6,-7.759
50.31,-74.6,-7.986
50.31,-74.6,-9.215
50.31,-74.6,-7.774
50.31,-74.6,-7.356
50.31,-74.6,-9.222
50.31,-74.6,-9.41
50.31,-74.6,-8.734
50.31,-74.6,-7.326
50.31,-74.6,-8.313
50.31,-74.6,-7.105
50.31,-74.6,-6.663
50.31,-74.6,-7.954
50.31,-74.6,-7.323
50.31,-74.6,-7.747
50.31,-74.6,-9.07
50.31,-74.6,-8.605
50.31,-74.6,-7.412
50.31,-74.6,-6.909
50.31,-74.6,-7.277
50.31,-74.6,-9.106
50.31,-74.6,-7.769
50.31,-74.6,-7.311
50.31,-74.6,-8.106
50.31,-74.6,-7.058
50.31,-74.6,-8.354
50.31,-74.61,-8.666
50.31,-74.61,-7.881
50.31,-74.61,-7.745
50.31,-74.61,-6.508
50.31,-74.61,-7.728
50.31,-74.61,-7.955
50.31,-74.61,-9.184
50.31,-74.61,-7.743
50.31,-74.61,-7.324
50.31,-74.61,-9.19
50.31,-74.61,-9.379
50.31,-74.61,-8.702
50.31,-74.61,-7.295
