Latitude,Longitude,DC
50.36,-74.46,89.68782
50.36,-74.46,77.09998
50.36,-74.46,93.20202
50.36,-74.46,75.76851
50.36,-74.46,83.8777
50.36,-74.46,87.89285
50.36,-74.46,84.29458
50.36,-74.46,90.78131
50.36,-74.46,79.73434
50.36,-74.46,86.78631
50.36,-74.46,78.67183
50.36,-74.46,92.77302
50.36,-74.46,75.77391
50.36,-74.46,85.24357
50.36,-74.46,90.56672
50.36,-74.46,85.56517
50.36,-74.46,75.22687
50.36,-74.46,83.91128
50.36,-74.46,78.46131
50.36,-74.46,79.71222
50.36,-74.46,89.61773
50.36,-74.46,79.77458
50.36,-74.46,83.00086
50.36,-74.46,82.22161
50.36,-74.46,86.63153
50.36,-74.46,94.11332
50.36,-74.46,84.06616
50.36,-74.46,80.12334
50.36,-74.46,87.19871
50.36,-74.46,86.20068
50.36,-74.46,89.62419
50.36,-74.46,76.95222
50.36,-74.46,93.32598
50.36,-74.46,75.68275
50.36,-74.46,83.78205
50.36,-74.46,87.71656
50.36,-74.46,84.14559
50.36,-74.46,90.96766
50.36,-74.46,80.01725
50.36,-74.46,86.64562
50.36,-74.46,78.60455
50.36,-74.46,93.16018
50.36,-74.46,75.70701
50.36,-74.46,85.10271
50.36,-74.46,90.37648
50.36,-74.46,85.60449
50.36,-74.46,75.12021
50.36,-74.46,83.84685
50.36,-74.46,78.46709
50.36,-74.46,79.54878
50.36,-74.46,89.75901
50.36,-74.46,79.75304
50.36,-74.46,83.30253
50.36,-74.46,82.50766
50.36,-74.46,86.48043
50.36,-74.46,94.56495
50.36,-74.46,83.80076
50.36,-74.46,80.02362
50.36,-74.46,87.39034
50.36,-74.46,86.15512
50.36,-74.46,89.76032
50.36,-74.46,76.78373
50.36,-74.46,93.16695
50.36,-74.46,75.75866
50.36,-74.46,83.63927
50.36,-74.46,87.60927
50.36,-74.46,83.98256
50.36,-74.46,90.82984
50.36,-74.46,79.90619
50.36,-74.46,86.38234
50.36,-74.46,78.53768
50.36,-74.46,93.01503
50.36,-74.46,75.58152
50.35,-74.46,84.86408
50.35,-74.46,90.14005
50.35,-74.46,85.55438
50.35,-74.46,75.40803
50.35,-74.46,83.60993
50.35,-74.46,78.07137
50.35,-74.46,79.41568
50.35,-74.46,89.46528
50.35,-74.46,79.37692
50.35,-74.46,83.21725
50.35,-74.46,82.08982
50.35,-74.46,86.818
50.35,-74.46,94.16071
50.35,-74.46,83.33409
50.35,-74.46,79.99716
50.35,-74.46,87.24255
50.35,-74.46,85.74581
50.35,-74.46,89.7846
50.35,-74.46,76.53137
50.35,-74.46,92.72074
50.35,-74.46,75.44957
50.35,-74.46,83.25171
50.35,-74.46,87.35927
50.35,-74.46,84.53515
50.35,-74.46,90.74873
50.35,-74.46,79.61353
50.35,-74.46,86.34251
50.35,-74.46,78.28255
50.35,-74.46,93.15319
50.35,-74.46,75.15858
50.35,-74.46,84.7174
50.35,-74.46,89.99404
50.35,-74.46,85.43151
50.35,-74.46,75.325
50.35,-74.46,83.4811
50.35,-74.46,77.96505
50.35,-74.46,79.30015
50.35,-74.46,89.33476
50.35,-74.46,79.49098
50.35,-74.46,83.55203
50.35,-74.46,81.9455
50.35,-74.46,86.74475
50.35,-74.46,94.00589
50.35,-74.46,83.25738
50.35,-74.46,79.9906
50.35,-74.46,87.35597
50.35,-74.46,85.54423
50.35,-74.46,89.62963
50.35,-74.46,76.42885
50.35,-74.46,92.80605
50.35,-74.46,75.3192
50.35,-74.46,83.35208
50.35,-74.46,87.1891
50.35,-74.46,84.39477
50.35,-74.46,90.64316
50.35,-74.46,78.80247
50.35,-74.46,86.30416
50.35,-74.46,78.52879
50.35,-74.46,93.04546
50.35,-74.46,75.1208
50.24,-75.33,81.82672
50.24,-75.33,86.79769
50.24,-75.33,82.8341
50.24,-75.33,72.494
50.24,-75.33,81.2637
50.24,-75.33,75.79374
50.24,-75.33,76.64918
50.24,-75.33,85.94817
50.24,-75.33,76.92006
50.24,-75.33,79.74631
50.24,-75.33,78.40876
50.24,-75.33,82.92113
50.24,-75.33,91.51996
50.24,-75.33,81.02949
50.24,-75.33,76.89149
50.24,-75.33,84.20585
50.24,-75.33,82.76362
50.24,-75.33,85.86823
50.24,-75.33,74.86761
50.24,-75.33,90.07456
50.24,-75.33,72.70747
50.24,-75.33,80.84619
50.24,-75.33,85.45249
50.24,-75.33,81.8576
50.24,-75.33,88.02403
50.24,-75.33,76.79608
50.24,-75.33,85.22104
50.24,-75.33,75.39653
50.24,-75.33,89.7104
50.24,-75.33,72.74461
50.23,-75.33,81.78144
50.23,-75.33,86.80901
50.23,-75.33,82.76106
50.23,-75.33,72.45699
50.23,-75.33,80.76117
50.23,-75.33,75.822
50.23,-75.33,76.60757
50.23,-75.33,85.98248
50.23,-75.33,76.81597
50.23,-75.33,79.70749
50.23,-75.33,78.4029
50.23,-75.33,82.9423
50.23,-75.33,91.26235
50.23,-75.33,80.98761
50.23,-75.33,76.86632
50.23,-75.33,84.16941
50.23,-75.33,82.742
50.23,-75.33,85.84446
50.23,-75.33,74.91568
50.23,-75.33,90.04973
50.23,-75.33,72.71888
50.23,-75.33,80.82979
50.23,-75.33,85.43026
50.23,-75.33,81.76624
50.23,-75.33,88.01131
50.23,-75.33,76.77203
50.23,-75.33,85.21194
50.23,-75.33,75.4187
50.23,-75.33,89.70204
50.23,-75.33,72.74499
50.23,-75.33,81.78144
50.23,-75.33,86.80901
50.23,-75.33,82.76106
50.23,-75.33,72.45699
50.23,-75.33,80.76117
50.23,-75.33,75.822
50.23,-75.33,76.60757
50.23,-75.33,85.98248
50.23,-75.33,76.81597
50.23,-75.33,79.70749
50.23,-75.33,78.4029
50.23,-75.33,82.9423
50.23,-75.33,91.26235
50.23,-75.33,80.98761
50.23,-75.33,76.86632
50.23,-75.33,84.16941
50.23,-75.33,82.742
50.23,-75.33,85.84446
50.23,-75.33,74.91568
50.23,-75.33,90.04973
50.23,-75.33,72.71888
50.23,-75.33,80.82979
50.23,-75.33,85.43026
50.23,-75.33,81.76624
50.23,-75.33,88.01131
50.23,-75.33,76.77203
50.23,-75.33,85.21194
50.23,-75.33,75.4187
50.23,-75.33,89.70204
50.23,-75.33,72.74499
50.23,-75.33,82.10203
50.23,-75.33,86.6948
50.23,-75.33,82.98422
50.23,-75.33,72.67436
50.23,-75.33,81.14749
50.23,-75.33,75.67684
50.23,-75.33,76.50443
50.23,-75.33,85.79664
50.23,-75.33,76.72697
50.23,-75.33,79.95976
50.23,-75.33,78.35145
50.23,-75.33,82.83613
50.23,-75.33,91.34253
50.23,-75.33,80.9602
50.23,-75.33,76.75804
50.23,-75.33,84.03931
50.23,-75.33,82.61836
50.23,-75.33,85.72233
50.23,-75.33,74.79785
50.23,-75.33,89.90709
50.23,-75.33,72.57477
50.23,-75.33,80.99232
50.23,-75.33,85.28917
50.23,-75.33,81.62936
50.23,-75.33,87.90581
50.23,-75.33,76.6402
50.23,-75.33,84.98017
50.23,-75.33,75.31978
50.23,-75.33,89.55027
50.23,-75.33,72.89334
50.17,-75.35,81.23194
50.17,-75.35,86.27204
50.17,-75.35,82.24948
50.17,-75.35,72.09
50.17,-75.35,80.41042
50.17,-75.35,75.69898
50.17,-75.35,76.35205
50.17,-75.35,85.80546
50.17,-75.35,76.68974
50.17,-75.35,79.18032
50.17,-75.35,78.08252
50.17,-75.35,82.59487
50.17,-75.35,90.44649
50.17,-75.35,80.44174
50.17,-75.35,76.29535
50.17,-75.35,83.49284
50.17,-75.35,82.45026
50.17,-75.35,85.48232
50.17,-75.35,74.70662
50.17,-75.35,89.784
50.17,-75.35,72.54768
50.17,-75.35,80.48837
50.17,-75.35,84.66194
50.17,-75.35,81.49468
50.17,-75.35,87.33237
50.17,-75.35,76.21462
50.17,-75.35,84.62386
50.17,-75.35,75.21245
50.17,-75.35,89.47902
50.17,-75.35,72.46526
50.17,-75.34,81.19843
50.17,-75.34,86.19265
50.17,-75.34,82.07946
50.17,-75.34,72.1767
50.17,-75.34,80.51518
50.17,-75.34,75.40814
50.17,-75.34,76.00088
50.17,-75.34,85.54259
