Latitude,Longitude,DC
50.32,-74.6,85.88981
50.32,-74.6,80.20482
50.32,-74.6,86.52424
50.32,-74.6,84.0356
50.31,-74.6,68.73349
50.31,-74.6,76.88878
50.31,-74.6,83.23656
50.31,-74.6,73.41603
50.31,-74.6,79.12782
50.31,-74.6,82.23
50.31,-74.6,87.49429
50.31,-74.6,74.44083
50.31,-74.6,75.4147
50.31,-74.6,79.10604
50.31,-74.6,90.77365
50.31,-74.6,88.08548
50.31,-74.6,83.50629
50.31,-74.6,87.556
50.31,-74.6,77.63901
50.31,-74.6,93.39937
50.31,-74.6,81.14955
50.31,-74.6,93.69867
50.31,-74.6,82.08842
50.31,-74.6,86.71114
50.31,-74.6,82.29125
50.31,-74.6,83.77768
50.31,-74.6,76.57208
50.31,-74.6,94.1986
50.31,-74.6,86.09517
50.31,-74.6,83.11613
50.31,-74.6,85.94674
50.31,-74.6,80.10111
50.31,-74.6,86.44668
50.31,-74.6,84.16206
50.31,-74.61,68.96153
50.31,-74.61,77.16294
50.31,-74.61,83.11449
50.31,-74.61,72.82705
50.31,-74.61,79.54957
50.31,-74.61,81.40241
50.31,-74.61,86.85625
50.31,-74.61,74.36965
50.31,-74.61,75.8476
50.31,-74.61,79.04142
50.31,-74.61,91.1777
50.31,-74.61,88.92553
50.31,-74.61,83.89929
50.31,-74.61,87.60416
50.31,-74.61,77.76267
50.31,-74.61,92.98618
50.31,-74.61,81.88437
50.31,-74.61,94.10433
50.31,-74.61,82.31697
50.31,-74.61,86.53948
50.31,-74.61,82.22992
50.31,-74.61,83.73459
50.31,-74.61,76.96678
50.31,-74.61,94.57556
50.31,-74.61,86.64488
50.31,-74.61,83.74761
50.31,-74.61,85.62705
50.31,-74.61,80.45097
50.31,-74.61,86.58307
50.31,-74.61,84.3175
50.36,-74.46,69.21037
50.36,-74.46,76.7566
50.36,-74.46,82.93981
50.36,-74.46,72.63045
50.36,-74.46,79.16706
50.36,-74.46,81.39985
50.36,-74.46,87.05304
50.36,-74.46,73.54126
50.36,-74.46,76.10019
50.36,-74.46,78.53508
50.36,-74.46,91.29883
50.36,-74.46,88.74029
50.36,-74.46,83.92322
50.36,-74.46,86.99441
50.36,-74.46,77.6842
50.36,-74.46,92.93524
50.36,-74.46,81.67001
50.36,-74.46,93.86578
50.36,-74.46,82.41715
50.36,-74.46,86.66266
50.36,-74.46,82.76546
50.36,-74.46,83.57236
50.36,-74.46,77.40593
50.36,-74.46,94.60621
50.36,-74.46,86.31572
50.36,-74.46,83.34028
50.36,-74.46,85.77235
